baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.48,0.5,0.52,0.51,0.48
0.49,0.52,0.55,0.53,0.49
0.48,0.5,0.52,0.52,0.49
0.47,0.48,0.5,0.5,0.49
0.47,0.48,0.5,0.5,0.49
0.47,0.48,0.5,0.5,0.48
0.46,0.46,0.48,0.48,0.47
0.47,0.48,0.5,0.49,0.47
0.47,0.48,0.5,0.49,0.48
0.47,0.48,0.5,0.49,0.47
0.47,0.48,0.49,0.48,0.48
0.47,0.48,0.49,0.48,0.48
0.47,0.48,0.48,0.47,0.47
0.48,0.5,0.5,0.48,0.47
0.48,0.5,0.5,0.48,0.47
0.47,0.48,0.47,0.46,0.48
0.48,0.5,0.5,0.48,0.48
0.49,0.52,0.52,0.51,0.49
0.48,0.5,0.51,0.49,0.5
0.47,0.48,0.49,0.47,0.49
0.46,0.46,0.48,0.45,0.49
0.46,0.46,0.47,0.45,0.48
0.46,0.46,0.47,0.44,0.49
0.46,0.46,0.47,0.45,0.49
0.46,0.46,0.47,0.44,0.48
0.45,0.44,0.45,0.43,0.48
0.45,0.44,0.46,0.44,0.48
0.46,0.46,0.49,0.46,0.48
0.46,0.46,0.49,0.45,0.48
0.46,0.46,0.48,0.45,0.49
0.45,0.44,0.47,0.45,0.48
0.46,0.46,0.48,0.46,0.49
0.45,0.44,0.47,0.45,0.49
0.44,0.43,0.46,0.44,0.49
0.45,0.44,0.48,0.46,0.49
0.45,0.44,0.48,0.46,0.5
0.44,0.43,0.47,0.45,0.49
0.43,0.41,0.46,0.43,0.49
0.43,0.41,0.45,0.43,0.48
0.44,0.43,0.47,0.44,0.49
0.44,0.43,0.47,0.44,0.5
0.44,0.43,0.48,0.45,0.49
0.45,0.44,0.5,0.47,0.5
0.45,0.44,0.5,0.47,0.5
0.45,0.44,0.5,0.47,0.5
0.45,0.44,0.51,0.48,0.5
0.44,0.43,0.51,0.48,0.5
0.44,0.43,0.53,0.49,0.5
0.45,0.44,0.54,0.5,0.5
0.45,0.44,0.54,0.51,0.51
0.45,0.44,0.54,0.5,0.51
0.44,0.43,0.52,0.49,0.51
0.44,0.43,0.53,0.49,0.52
0.45,0.44,0.56,0.51,0.52
0.46,0.46,0.56,0.53,0.53
0.47,0.48,0.56,0.53,0.53
0.46,0.46,0.54,0.51,0.53
0.45,0.44,0.51,0.49,0.52
0.46,0.46,0.51,0.49,0.51
0.46,0.46,0.52,0.49,0.5
0.46,0.46,0.52,0.49,0.5
0.47,0.48,0.52,0.5,0.51
0.48,0.5,0.52,0.51,0.52
0.48,0.5,0.52,0.51,0.53
0.49,0.52,0.54,0.53,0.53
0.49,0.52,0.53,0.52,0.53
0.49,0.52,0.53,0.52,0.52
0.5,0.54,0.55,0.54,0.53
0.5,0.54,0.55,0.54,0.54
0.5,0.54,0.55,0.54,0.53
0.5,0.54,0.55,0.54,0.54
0.49,0.52,0.53,0.53,0.53
0.49,0.52,0.53,0.53,0.53
0.48,0.5,0.51,0.51,0.53
0.48,0.5,0.51,0.52,0.53
0.47,0.48,0.5,0.5,0.53
0.47,0.48,0.5,0.5,0.52
0.48,0.5,0.52,0.51,0.53
0.48,0.5,0.51,0.51,0.53
0.49,0.52,0.53,0.52,0.53
0.5,0.54,0.55,0.55,0.54
0.49,0.52,0.54,0.53,0.54
0.5,0.54,0.55,0.55,0.54
0.51,0.56,0.56,0.56,0.55
0.52,0.57,0.57,0.57,0.56
0.53,0.59,0.59,0.58,0.56
0.53,0.59,0.59,0.58,0.57
0.53,0.59,0.59,0.58,0.57
0.53,0.59,0.59,0.57,0.56
0.54,0.61,0.61,0.58,0.57
0.54,0.61,0.6,0.58,0.56
0.55,0.63,0.61,0.59,0.56
0.56,0.65,0.63,0.61,0.57
0.57,0.67,0.65,0.62,0.58
0.56,0.65,0.63,0.61,0.58
0.56,0.65,0.63,0.62,0.59
0.57,0.67,0.65,0.63,0.59
0.58,0.69,0.67,0.64,0.6
0.58,0.69,0.67,0.64,0.6
0.57,0.67,0.65,0.62,0.6
0.58,0.69,0.67,0.64,0.59
0.57,0.67,0.65,0.62,0.6
0.58,0.69,0.67,0.64,0.6
0.59,0.7,0.67,0.66,0.61
0.59,0.7,0.67,0.65,0.61
0.59,0.7,0.67,0.66,0.61
0.59,0.7,0.67,0.66,0.61
0.58,0.69,0.67,0.65,0.62
0.57,0.67,0.64,0.63,0.61
0.57,0.67,0.65,0.64,0.6
0.57,0.67,0.65,0.64,0.61
0.56,0.65,0.63,0.62,0.6
0.56,0.65,0.65,0.63,0.6
0.55,0.63,0.63,0.61,0.6
0.56,0.65,0.65,0.63,0.6
0.57,0.67,0.67,0.64,0.61
0.57,0.67,0.67,0.64,0.61
0.57,0.67,0.67,0.64,0.61
0.57,0.67,0.67,0.64,0.6
0.57,0.67,0.67,0.64,0.59
0.58,0.69,0.67,0.65,0.59
0.59,0.7,0.67,0.67,0.6
0.58,0.69,0.67,0.66,0.61
0.57,0.67,0.67,0.65,0.61
0.57,0.67,0.67,0.66,0.6
0.57,0.67,0.67,0.65,0.6
0.57,0.67,0.67,0.66,0.61
0.56,0.65,0.65,0.64,0.6
0.56,0.65,0.67,0.65,0.59
0.56,0.65,0.67,0.66,0.59
0.56,0.65,0.67,0.65,0.59
0.55,0.63,0.64,0.64,0.59
0.55,0.63,0.64,0.64,0.59
0.56,0.65,0.66,0.65,0.6
0.55,0.63,0.64,0.63,0.6
0.55,0.63,0.64,0.63,0.6
0.55,0.63,0.64,0.63,0.59
0.55,0.63,0.64,0.63,0.6
0.56,0.65,0.67,0.65,0.61
0.55,0.63,0.65,0.64,0.61
0.54,0.61,0.63,0.62,0.6
0.55,0.63,0.64,0.62,0.6
0.55,0.63,0.64,0.62,0.61
0.56,0.65,0.65,0.64,0.61
0.55,0.63,0.64,0.62,0.61
0.54,0.61,0.63,0.61,0.61
0.55,0.63,0.64,0.61,0.61
0.56,0.65,0.65,0.62,0.61
0.56,0.65,0.65,0.62,0.61
0.56,0.65,0.65,0.61,0.61
0.56,0.65,0.66,0.62,0.61
0.57,0.67,0.67,0.64,0.6
0.57,0.67,0.67,0.64,0.6
0.57,0.67,0.67,0.64,0.6
0.56,0.65,0.67,0.62,0.59
0.55,0.63,0.65,0.61,0.59
0.56,0.65,0.67,0.63,0.58
0.56,0.65,0.69,0.64,0.59
0.56,0.65,0.69,0.64,0.6
0.56,0.65,0.69,0.65,0.61
0.57,0.67,0.7,0.66,0.61
0.57,0.67,0.7,0.66,0.62
0.56,0.65,0.68,0.64,0.61
0.57,0.67,0.7,0.65,0.61
0.57,0.67,0.7,0.65,0.61
0.58,0.69,0.71,0.67,0.6
0.58,0.69,0.72,0.68,0.61
0.57,0.67,0.71,0.67,0.61
0.56,0.65,0.69,0.65,0.6
0.56,0.65,0.69,0.64,0.59
0.55,0.63,0.67,0.62,0.59
0.55,0.63,0.67,0.63,0.58
0.54,0.61,0.65,0.62,0.58
0.54,0.61,0.65,0.61,0.58
0.54,0.61,0.64,0.61,0.58
0.54,0.61,0.63,0.6,0.57
0.55,0.63,0.65,0.62,0.58
0.54,0.61,0.63,0.6,0.58
0.54,0.61,0.64,0.61,0.58
0.53,0.59,0.63,0.6,0.58
0.53,0.59,0.62,0.59,0.58
0.54,0.61,0.63,0.6,0.58
0.53,0.59,0.6,0.58,0.58
0.53,0.59,0.6,0.58,0.58
0.52,0.57,0.58,0.56,0.57
0.51,0.56,0.56,0.54,0.56
0.51,0.56,0.57,0.55,0.56
0.51,0.56,0.57,0.55,0.56
0.51,0.56,0.56,0.54,0.55
0.5,0.54,0.56,0.54,0.55
0.5,0.54,0.56,0.54,0.54
0.49,0.52,0.55,0.52,0.54
0.48,0.5,0.54,0.51,0.54
0.48,0.5,0.54,0.51,0.54
0.49,0.52,0.57,0.54,0.54
0.48,0.5,0.55,0.52,0.54
0.47,0.48,0.53,0.5,0.54
0.47,0.48,0.53,0.5,0.54
0.47,0.48,0.54,0.51,0.54
0.47,0.48,0.54,0.52,0.55
0.47,0.48,0.54,0.52,0.56
0.47,0.48,0.55,0.52,0.57
0.47,0.48,0.54,0.52,0.57
0.46,0.46,0.52,0.51,0.56
0.45,0.44,0.5,0.49,0.55
0.44,0.43,0.48,0.47,0.54
0.45,0.44,0.49,0.48,0.54
0.46,0.46,0.5,0.49,0.54
0.47,0.48,0.52,0.51,0.54
0.47,0.48,0.52,0.51,0.54
0.46,0.46,0.5,0.49,0.54
0.47,0.48,0.52,0.51,0.54
0.47,0.48,0.52,0.51,0.55
0.47,0.48,0.52,0.51,0.55
0.46,0.46,0.51,0.5,0.56
0.46,0.46,0.51,0.49,0.56
0.46,0.46,0.51,0.5,0.56
0.45,0.44,0.49,0.48,0.55
0.45,0.44,0.5,0.48,0.54
0.46,0.46,0.5,0.49,0.55
0.45,0.44,0.49,0.48,0.55
0.45,0.44,0.51,0.48,0.56
0.46,0.46,0.52,0.49,0.56
0.47,0.48,0.53,0.5,0.56
0.47,0.48,0.52,0.5,0.55
0.47,0.48,0.53,0.5,0.55
0.47,0.48,0.52,0.5,0.55
0.47,0.48,0.52,0.5,0.54
0.48,0.5,0.52,0.5,0.54
0.48,0.5,0.52,0.5,0.54
0.49,0.52,0.53,0.52,0.55
0.5,0.54,0.56,0.53,0.55
0.5,0.54,0.56,0.53,0.56
0.5,0.54,0.56,0.54,0.56
0.51,0.56,0.57,0.55,0.55
0.5,0.54,0.56,0.54,0.54
0.51,0.56,0.57,0.56,0.54
0.51,0.56,0.57,0.56,0.54
0.51,0.56,0.56,0.55,0.54
0.52,0.57,0.57,0.57,0.54
0.52,0.57,0.57,0.57,0.54
0.51,0.56,0.56,0.55,0.55
0.5,0.54,0.54,0.53,0.54
0.49,0.52,0.52,0.52,0.53
0.49,0.52,0.52,0.52,0.52
0.5,0.54,0.54,0.54,0.52
0.49,0.52,0.52,0.52,0.52
0.49,0.52,0.52,0.51,0.52
0.49,0.52,0.51,0.5,0.51
0.49,0.52,0.52,0.51,0.51
0.49,0.52,0.52,0.51,0.51
0.48,0.5,0.52,0.51,0.51
0.48,0.5,0.52,0.51,0.52
0.48,0.5,0.52,0.51,0.52
0.48,0.5,0.52,0.51,0.51
0.48,0.5,0.52,0.51,0.52
0.48,0.5,0.51,0.51,0.52
0.48,0.5,0.51,0.51,0.52
0.47,0.48,0.5,0.5,0.51
0.47,0.48,0.5,0.49,0.5
0.46,0.46,0.48,0.48,0.5
0.46,0.46,0.48,0.47,0.5
0.47,0.48,0.49,0.48,0.5
0.46,0.46,0.47,0.47,0.5
0.45,0.44,0.46,0.46,0.49
0.44,0.43,0.44,0.44,0.48
0.44,0.43,0.44,0.44,0.49
0.45,0.44,0.45,0.46,0.49
0.45,0.44,0.46,0.46,0.49
0.46,0.46,0.48,0.48,0.5
0.46,0.46,0.48,0.49,0.5
0.47,0.48,0.5,0.5,0.5
0.47,0.48,0.49,0.49,0.51
0.48,0.5,0.5,0.5,0.51
0.47,0.48,0.5,0.5,0.5
0.48,0.5,0.52,0.52,0.51
0.47,0.48,0.51,0.51,0.51
0.47,0.48,0.53,0.52,0.5
0.46,0.46,0.5,0.5,0.5
0.46,0.46,0.49,0.49,0.5
0.46,0.46,0.49,0.49,0.51
0.46,0.46,0.49,0.49,0.51
0.46,0.46,0.51,0.5,0.51
0.45,0.44,0.51,0.49,0.52
0.46,0.46,0.53,0.51,0.52
0.47,0.48,0.57,0.54,0.53
0.46,0.46,0.53,0.51,0.53
0.46,0.46,0.53,0.52,0.53
0.47,0.48,0.55,0.53,0.53
0.48,0.5,0.56,0.54,0.53
0.49,0.52,0.57,0.55,0.54
0.5,0.54,0.59,0.57,0.55
0.5,0.54,0.59,0.57,0.55
0.5,0.54,0.59,0.56,0.55
0.5,0.54,0.59,0.56,0.55
0.51,0.56,0.61,0.58,0.55
0.52,0.57,0.63,0.59,0.55
0.52,0.57,0.63,0.59,0.55
0.52,0.57,0.62,0.59,0.55
0.52,0.57,0.6,0.57,0.54
0.52,0.57,0.6,0.58,0.54
0.53,0.59,0.61,0.59,0.54
0.52,0.57,0.59,0.57,0.53
0.53,0.59,0.61,0.59,0.53
0.53,0.59,0.63,0.6,0.53
0.54,0.61,0.66,0.61,0.54
0.54,0.61,0.66,0.62,0.54
0.54,0.61,0.65,0.62,0.53
0.54,0.61,0.66,0.62,0.53
0.54,0.61,0.67,0.62,0.52
0.55,0.63,0.68,0.63,0.53
0.55,0.63,0.67,0.63,0.54
0.55,0.63,0.67,0.63,0.54
0.55,0.63,0.67,0.63,0.53
0.56,0.65,0.68,0.65,0.53
0.55,0.63,0.67,0.63,0.52
0.54,0.61,0.65,0.62,0.52
0.55,0.63,0.67,0.64,0.52
0.56,0.65,0.67,0.65,0.53
0.56,0.65,0.68,0.65,0.54
0.57,0.67,0.68,0.66,0.54
0.57,0.67,0.68,0.66,0.55
0.57,0.67,0.69,0.66,0.55
0.56,0.65,0.66,0.64,0.54
0.56,0.65,0.68,0.66,0.53
0.57,0.67,0.69,0.67,0.54
0.56,0.65,0.68,0.66,0.55
0.57,0.67,0.7,0.68,0.56
0.57,0.67,0.7,0.68,0.57
0.57,0.67,0.72,0.69,0.58
0.57,0.67,0.73,0.69,0.59
0.57,0.67,0.72,0.69,0.59
0.57,0.67,0.73,0.69,0.59
0.57,0.67,0.72,0.69,0.58
0.57,0.67,0.72,0.69,0.58
0.58,0.69,0.73,0.7,0.59
0.57,0.67,0.7,0.67,0.59
0.58,0.69,0.7,0.69,0.59
0.57,0.67,0.7,0.68,0.59
0.57,0.67,0.7,0.68,0.59
0.57,0.67,0.7,0.68,0.58
0.58,0.69,0.72,0.69,0.58
0.58,0.69,0.73,0.7,0.57
0.58,0.69,0.72,0.68,0.57
0.59,0.7,0.72,0.7,0.58
0.58,0.69,0.69,0.67,0.58
0.58,0.69,0.69,0.67,0.57
0.57,0.67,0.67,0.66,0.57
0.57,0.67,0.68,0.66,0.57
0.56,0.65,0.67,0.64,0.57
0.56,0.65,0.67,0.64,0.57
0.57,0.67,0.68,0.65,0.57
0.57,0.67,0.68,0.65,0.57
0.56,0.65,0.66,0.63,0.56
0.57,0.67,0.67,0.64,0.56
0.57,0.67,0.67,0.63,0.57
0.57,0.67,0.67,0.63,0.57
0.57,0.67,0.67,0.63,0.56
0.58,0.69,0.69,0.64,0.57
0.59,0.7,0.7,0.66,0.58
0.59,0.7,0.7,0.66,0.58
0.58,0.69,0.69,0.65,0.58
0.58,0.69,0.69,0.65,0.58
0.59,0.7,0.7,0.66,0.59
0.6,0.72,0.72,0.67,0.6
0.6,0.72,0.72,0.68,0.6
0.59,0.7,0.71,0.67,0.61
0.59,0.7,0.7,0.66,0.61
0.59,0.7,0.7,0.66,0.61
0.59,0.7,0.7,0.66,0.62
0.59,0.7,0.7,0.66,0.61
0.59,0.7,0.7,0.66,0.62
0.6,0.72,0.71,0.67,0.62
0.6,0.72,0.73,0.68,0.62
0.61,0.74,0.75,0.69,0.63
0.6,0.72,0.73,0.67,0.63
0.61,0.74,0.75,0.69,0.63
0.61,0.74,0.75,0.68,0.63
0.61,0.74,0.75,0.68,0.63
0.62,0.76,0.75,0.69,0.64
0.61,0.74,0.73,0.68,0.63
0.61,0.74,0.73,0.68,0.63
0.62,0.76,0.75,0.68,0.63
0.63,0.78,0.76,0.69,0.63
0.62,0.76,0.74,0.67,0.63
0.62,0.76,0.74,0.67,0.63
0.63,0.78,0.77,0.69,0.63
0.63,0.78,0.75,0.69,0.63
0.62,0.76,0.75,0.68,0.63
0.62,0.76,0.76,0.68,0.62
0.61,0.74,0.74,0.67,0.62
0.6,0.72,0.72,0.65,0.61
0.61,0.74,0.72,0.66,0.61
0.61,0.74,0.72,0.66,0.62
0.6,0.72,0.7,0.65,0.62
0.6,0.72,0.7,0.65,0.62
0.6,0.72,0.7,0.64,0.62
0.6,0.72,0.69,0.64,0.62
0.61,0.74,0.7,0.66,0.62
0.62,0.76,0.72,0.68,0.62
0.62,0.76,0.73,0.68,0.63
0.61,0.74,0.71,0.66,0.62
0.62,0.76,0.73,0.68,0.62
0.62,0.76,0.72,0.67,0.63
0.63,0.78,0.73,0.68,0.63
0.63,0.78,0.73,0.68,0.64
0.62,0.76,0.71,0.67,0.63
0.62,0.76,0.71,0.66,0.63
0.61,0.74,0.69,0.65,0.64
0.61,0.74,0.69,0.66,0.64
0.6,0.72,0.68,0.65,0.64
0.59,0.7,0.67,0.63,0.63
0.59,0.7,0.65,0.62,0.63
0.6,0.72,0.67,0.63,0.63
0.59,0.7,0.65,0.62,0.63
0.6,0.72,0.67,0.63,0.63
0.6,0.72,0.67,0.64,0.63
0.6,0.72,0.67,0.64,0.63
0.59,0.7,0.67,0.63,0.63
0.59,0.7,0.67,0.63,0.63
0.59,0.7,0.67,0.63,0.63
0.59,0.7,0.66,0.63,0.63
0.59,0.7,0.66,0.63,0.63
0.6,0.72,0.67,0.64,0.62
0.61,0.74,0.67,0.65,0.63
0.6,0.72,0.65,0.63,0.63
0.6,0.72,0.63,0.63,0.62
0.6,0.72,0.64,0.63,0.62
0.6,0.72,0.67,0.63,0.62
0.6,0.72,0.67,0.64,0.61
0.6,0.72,0.64,0.63,0.61
0.59,0.7,0.63,0.62,0.61
0.59,0.7,0.63,0.62,0.6
0.58,0.69,0.62,0.61,0.6
0.58,0.69,0.62,0.61,0.61
0.57,0.67,0.61,0.59,0.6
0.57,0.67,0.61,0.6,0.6
0.56,0.65,0.6,0.59,0.61
0.56,0.65,0.61,0.59,0.6
0.56,0.65,0.6,0.58,0.61
0.57,0.67,0.61,0.59,0.61
0.57,0.67,0.6,0.59,0.61
0.58,0.69,0.61,0.6,0.61
0.59,0.7,0.62,0.62,0.61
0.58,0.69,0.61,0.6,0.61
0.59,0.7,0.62,0.62,0.61
0.6,0.72,0.64,0.64,0.61
0.6,0.72,0.66,0.66,0.61
0.59,0.7,0.65,0.64,0.61
0.59,0.7,0.66,0.65,0.61
0.59,0.7,0.66,0.65,0.62
0.59,0.7,0.66,0.65,0.62
0.59,0.7,0.66,0.65,0.62
0.6,0.72,0.68,0.68,0.62
0.6,0.72,0.69,0.69,0.63
0.61,0.74,0.7,0.7,0.63
0.6,0.72,0.68,0.68,0.62
0.61,0.74,0.7,0.7,0.61
0.61,0.74,0.7,0.69,0.62
0.6,0.72,0.67,0.68,0.61
0.6,0.72,0.67,0.68,0.61
0.6,0.72,0.67,0.68,0.62
0.59,0.7,0.66,0.67,0.62
0.59,0.7,0.66,0.66,0.62
0.59,0.7,0.66,0.66,0.61
0.6,0.72,0.68,0.68,0.61
0.61,0.74,0.69,0.69,0.62
0.61,0.74,0.69,0.69,0.62
0.62,0.76,0.7,0.7,0.61
0.61,0.74,0.67,0.68,0.6
0.62,0.76,0.69,0.69,0.6
0.61,0.74,0.67,0.68,0.6
0.61,0.74,0.67,0.68,0.6
0.61,0.74,0.67,0.67,0.6
0.61,0.74,0.67,0.67,0.6
0.61,0.74,0.68,0.69,0.59
0.6,0.72,0.67,0.67,0.59
0.6,0.72,0.67,0.66,0.58
0.6,0.72,0.67,0.67,0.59
0.6,0.72,0.67,0.67,0.6
0.6,0.72,0.67,0.67,0.6
0.6,0.72,0.67,0.67,0.61
0.6,0.72,0.67,0.67,0.61
0.6,0.72,0.67,0.67,0.61
0.61,0.74,0.69,0.69,0.61
0.61,0.74,0.67,0.68,0.61
0.61,0.74,0.67,0.69,0.61
0.61,0.74,0.67,0.69,0.61
0.61,0.74,0.67,0.68,0.61
0.61,0.74,0.67,0.68,0.61
0.61,0.74,0.67,0.71,0.61
0.62,0.76,0.69,0.72,0.62
0.62,0.76,0.69,0.73,0.63
0.62,0.76,0.7,0.73,0.63
0.62,0.76,0.7,0.73,0.62
0.62,0.76,0.7,0.73,0.63
0.61,0.74,0.69,0.71,0.63
0.6,0.72,0.68,0.7,0.62
0.6,0.72,0.68,0.7,0.63
0.6,0.72,0.68,0.7,0.63
0.59,0.7,0.67,0.69,0.62
0.59,0.7,0.67,0.69,0.61
0.59,0.7,0.67,0.69,0.62
0.59,0.7,0.67,0.69,0.62
0.59,0.7,0.67,0.68,0.62
0.59,0.7,0.67,0.68,0.62
0.6,0.72,0.68,0.7,0.62
0.6,0.72,0.69,0.71,0.63
0.6,0.72,0.69,0.69,0.63
0.6,0.72,0.68,0.68,0.62
0.6,0.72,0.68,0.67,0.62
0.61,0.74,0.7,0.68,0.63
0.6,0.72,0.69,0.67,0.63
0.6,0.72,0.69,0.67,0.63
0.6,0.72,0.68,0.66,0.62
0.59,0.7,0.67,0.64,0.62
0.6,0.72,0.68,0.65,0.62
0.6,0.72,0.68,0.64,0.63
0.6,0.72,0.67,0.64,0.62
0.6,0.72,0.67,0.64,0.62
0.59,0.7,0.65,0.62,0.61
0.58,0.69,0.64,0.61,0.6
0.57,0.67,0.62,0.58,0.59
0.56,0.65,0.61,0.57,0.58
0.55,0.63,0.59,0.55,0.58
0.55,0.63,0.59,0.55,0.57
0.55,0.63,0.59,0.55,0.57
0.54,0.61,0.57,0.53,0.57
0.54,0.61,0.56,0.51,0.56
0.55,0.63,0.57,0.53,0.56
0.55,0.63,0.57,0.53,0.57
0.55,0.63,0.57,0.52,0.57
0.55,0.63,0.57,0.54,0.56
0.55,0.63,0.59,0.55,0.56
0.54,0.61,0.57,0.53,0.55
0.55,0.63,0.59,0.54,0.55
0.55,0.63,0.58,0.53,0.56
0.56,0.65,0.59,0.54,0.56
0.57,0.67,0.61,0.56,0.56
0.57,0.67,0.62,0.56,0.56
0.57,0.67,0.62,0.57,0.56
0.56,0.65,0.6,0.56,0.55
0.56,0.65,0.6,0.56,0.56
0.56,0.65,0.6,0.55,0.57
0.56,0.65,0.61,0.56,0.57
0.55,0.63,0.59,0.55,0.57
0.55,0.63,0.59,0.54,0.57
0.55,0.63,0.57,0.53,0.57
0.55,0.63,0.57,0.53,0.58
0.55,0.63,0.56,0.51,0.58
0.54,0.61,0.54,0.49,0.57
0.54,0.61,0.54,0.48,0.57
0.53,0.59,0.52,0.47,0.56
0.53,0.59,0.51,0.46,0.56
0.52,0.57,0.5,0.43,0.55
0.51,0.56,0.5,0.43,0.55
0.52,0.57,0.52,0.45,0.55
0.52,0.57,0.52,0.46,0.56
0.51,0.56,0.52,0.46,0.57
0.52,0.57,0.52,0.47,0.57
0.53,0.59,0.54,0.49,0.58
0.53,0.59,0.55,0.49,0.57
0.54,0.61,0.56,0.5,0.57
0.54,0.61,0.56,0.5,0.58
0.54,0.61,0.56,0.5,0.58
0.54,0.61,0.55,0.49,0.59
0.53,0.59,0.54,0.48,0.58
0.53,0.59,0.53,0.48,0.58
0.53,0.59,0.54,0.48,0.57
0.54,0.61,0.55,0.49,0.58
0.53,0.59,0.54,0.48,0.58
0.54,0.61,0.55,0.5,0.58
0.53,0.59,0.54,0.49,0.58
0.53,0.59,0.53,0.48,0.58
0.52,0.57,0.52,0.47,0.57
0.52,0.57,0.5,0.46,0.56
0.53,0.59,0.52,0.48,0.57
0.53,0.59,0.52,0.48,0.57
0.54,0.61,0.52,0.48,0.58
0.54,0.61,0.52,0.48,0.58
0.55,0.63,0.53,0.5,0.58
0.54,0.61,0.51,0.49,0.58
0.54,0.61,0.51,0.49,0.58
0.53,0.59,0.49,0.47,0.57
0.52,0.57,0.48,0.46,0.57
0.52,0.57,0.48,0.46,0.57
0.52,0.57,0.48,0.45,0.57
0.51,0.56,0.45,0.43,0.56
0.51,0.56,0.44,0.43,0.56
0.51,0.56,0.44,0.43,0.57
0.52,0.57,0.44,0.44,0.56
0.52,0.57,0.46,0.46,0.56
0.52,0.57,0.46,0.46,0.56
0.52,0.57,0.46,0.46,0.56
0.52,0.57,0.45,0.46,0.55
0.52,0.57,0.45,0.46,0.55
0.52,0.57,0.46,0.46,0.54
0.53,0.59,0.47,0.48,0.54
0.52,0.57,0.45,0.46,0.54
0.52,0.57,0.45,0.45,0.54
0.52,0.57,0.44,0.45,0.53
0.53,0.59,0.45,0.46,0.54
0.52,0.57,0.44,0.45,0.55
0.52,0.57,0.45,0.46,0.55
0.52,0.57,0.47,0.46,0.55
0.51,0.56,0.44,0.44,0.54
0.51,0.56,0.44,0.44,0.54
0.51,0.56,0.44,0.44,0.54
0.52,0.57,0.46,0.46,0.54
0.52,0.57,0.46,0.46,0.54
0.52,0.57,0.48,0.47,0.54
0.51,0.56,0.47,0.46,0.54
0.52,0.57,0.49,0.48,0.54
0.52,0.57,0.48,0.48,0.54
