baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.23,0.21,0.2,0.2,0.18
0.23,0.21,0.2,0.2,0.18
0.23,0.21,0.2,0.2,0.18
0.23,0.21,0.2,0.2,0.19
0.22,0.2,0.19,0.19,0.18
0.22,0.2,0.19,0.19,0.18
0.21,0.19,0.18,0.18,0.17
0.21,0.19,0.18,0.19,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.21,0.19,0.18,0.19,0.17
0.21,0.19,0.18,0.19,0.16
0.21,0.19,0.18,0.19,0.16
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.22,0.2,0.19,0.2,0.17
0.23,0.21,0.2,0.21,0.18
0.23,0.21,0.2,0.21,0.18
0.24,0.22,0.22,0.22,0.19
0.25,0.23,0.23,0.23,0.2
0.25,0.23,0.23,0.23,0.2
0.24,0.22,0.22,0.22,0.2
0.24,0.22,0.22,0.22,0.19
0.24,0.22,0.22,0.22,0.19
0.25,0.23,0.23,0.23,0.2
0.25,0.23,0.23,0.23,0.2
0.25,0.23,0.23,0.23,0.2
0.25,0.23,0.23,0.23,0.2
0.24,0.22,0.22,0.22,0.2
0.24,0.22,0.22,0.22,0.2
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.21,0.21,0.19
0.22,0.2,0.2,0.19,0.19
0.22,0.2,0.2,0.19,0.18
0.22,0.2,0.2,0.19,0.18
0.21,0.19,0.18,0.18,0.18
0.21,0.19,0.19,0.18,0.18
0.21,0.19,0.19,0.18,0.17
0.21,0.19,0.19,0.18,0.17
0.21,0.19,0.19,0.18,0.17
0.21,0.19,0.19,0.18,0.17
0.21,0.19,0.19,0.18,0.17
0.21,0.19,0.19,0.18,0.17
0.21,0.19,0.18,0.18,0.17
0.22,0.2,0.2,0.2,0.18
0.22,0.2,0.2,0.2,0.18
0.23,0.21,0.21,0.21,0.19
0.24,0.22,0.22,0.22,0.2
0.25,0.23,0.23,0.23,0.21
0.25,0.23,0.23,0.23,0.21
0.25,0.23,0.23,0.23,0.22
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.2
0.25,0.23,0.23,0.23,0.21
0.25,0.23,0.23,0.23,0.21
0.25,0.23,0.23,0.23,0.21
0.24,0.22,0.22,0.22,0.21
0.25,0.23,0.23,0.23,0.21
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.22
0.26,0.24,0.24,0.24,0.23
0.26,0.24,0.24,0.24,0.23
0.26,0.24,0.24,0.24,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.22
0.25,0.23,0.23,0.23,0.22
0.25,0.23,0.23,0.23,0.22
0.25,0.23,0.23,0.23,0.22
0.26,0.24,0.24,0.24,0.23
0.26,0.24,0.24,0.24,0.23
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.24,0.25
0.27,0.26,0.25,0.24,0.24
0.27,0.26,0.25,0.24,0.24
0.28,0.27,0.26,0.25,0.25
0.29,0.28,0.27,0.26,0.26
0.29,0.28,0.27,0.26,0.26
0.28,0.27,0.26,0.25,0.26
0.28,0.27,0.26,0.25,0.26
0.28,0.27,0.26,0.25,0.26
0.29,0.28,0.27,0.27,0.27
0.29,0.28,0.27,0.27,0.28
0.29,0.28,0.27,0.27,0.27
0.29,0.28,0.27,0.27,0.28
0.28,0.27,0.27,0.27,0.28
0.28,0.27,0.27,0.27,0.28
0.28,0.27,0.27,0.27,0.28
0.29,0.28,0.28,0.28,0.29
0.29,0.28,0.28,0.28,0.29
0.29,0.28,0.28,0.28,0.29
0.29,0.28,0.28,0.28,0.29
0.29,0.28,0.28,0.28,0.3
0.29,0.28,0.28,0.28,0.29
0.28,0.27,0.27,0.27,0.29
0.28,0.27,0.27,0.27,0.28
0.28,0.27,0.27,0.27,0.29
0.27,0.26,0.25,0.25,0.28
0.27,0.26,0.25,0.25,0.27
0.27,0.26,0.25,0.25,0.27
0.27,0.26,0.25,0.25,0.27
0.27,0.26,0.25,0.25,0.27
0.26,0.24,0.24,0.24,0.27
0.27,0.26,0.25,0.25,0.27
0.28,0.27,0.26,0.26,0.28
0.28,0.27,0.26,0.26,0.28
0.28,0.27,0.26,0.26,0.28
0.28,0.27,0.26,0.26,0.28
0.29,0.28,0.27,0.28,0.29
0.29,0.28,0.27,0.28,0.29
0.28,0.27,0.26,0.26,0.29
0.28,0.27,0.26,0.26,0.28
0.27,0.26,0.25,0.25,0.28
0.27,0.26,0.25,0.25,0.28
0.27,0.26,0.25,0.25,0.27
0.28,0.27,0.26,0.26,0.28
0.28,0.27,0.26,0.26,0.28
0.29,0.28,0.27,0.28,0.29
0.29,0.28,0.28,0.28,0.3
0.3,0.29,0.29,0.29,0.3
0.3,0.29,0.29,0.29,0.3
0.3,0.29,0.29,0.29,0.3
0.3,0.29,0.29,0.29,0.3
0.3,0.29,0.29,0.29,0.3
0.3,0.29,0.29,0.29,0.3
0.29,0.28,0.28,0.28,0.3
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.29
0.29,0.28,0.28,0.28,0.29
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.28,0.28,0.28
0.3,0.29,0.29,0.29,0.29
0.31,0.3,0.3,0.3,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.28
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.28,0.28,0.28
0.29,0.28,0.27,0.28,0.27
0.29,0.28,0.27,0.28,0.28
0.29,0.28,0.27,0.28,0.27
0.29,0.28,0.27,0.28,0.27
0.29,0.28,0.27,0.27,0.27
0.29,0.28,0.27,0.27,0.26
0.29,0.28,0.27,0.27,0.26
0.3,0.29,0.28,0.28,0.27
0.29,0.28,0.27,0.27,0.27
0.28,0.27,0.26,0.26,0.26
0.28,0.27,0.26,0.26,0.25
0.28,0.27,0.26,0.26,0.25
0.28,0.27,0.26,0.26,0.25
0.28,0.27,0.26,0.26,0.25
0.28,0.27,0.26,0.26,0.25
0.28,0.27,0.26,0.26,0.25
0.27,0.26,0.25,0.25,0.25
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.27,0.26,0.25,0.25,0.24
0.26,0.24,0.24,0.24,0.24
0.27,0.26,0.26,0.25,0.24
0.26,0.24,0.24,0.24,0.24
0.27,0.26,0.26,0.25,0.24
0.26,0.24,0.24,0.24,0.24
0.26,0.24,0.24,0.24,0.23
0.26,0.24,0.24,0.24,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.22
0.25,0.23,0.23,0.23,0.22
0.25,0.23,0.23,0.23,0.22
0.25,0.23,0.23,0.23,0.22
0.24,0.22,0.22,0.22,0.22
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.23,0.21,0.21,0.21,0.21
0.22,0.2,0.2,0.2,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.22,0.2,0.2,0.2,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.24,0.22,0.22,0.22,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.2,0.18,0.18,0.18,0.17
0.21,0.19,0.19,0.19,0.17
0.21,0.19,0.19,0.19,0.17
0.21,0.19,0.19,0.19,0.17
0.21,0.19,0.19,0.19,0.17
0.22,0.2,0.2,0.2,0.17
0.22,0.2,0.2,0.2,0.17
0.22,0.2,0.2,0.2,0.18
0.22,0.2,0.2,0.2,0.18
0.22,0.2,0.2,0.2,0.18
0.22,0.2,0.2,0.2,0.18
0.22,0.2,0.2,0.2,0.18
0.23,0.21,0.21,0.21,0.19
0.23,0.21,0.21,0.21,0.19
0.23,0.21,0.21,0.21,0.19
0.23,0.21,0.21,0.21,0.19
0.23,0.21,0.21,0.21,0.19
0.24,0.22,0.22,0.22,0.2
0.23,0.21,0.21,0.21,0.2
0.22,0.2,0.2,0.2,0.19
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.2,0.21,0.2
0.22,0.2,0.19,0.2,0.2
0.21,0.19,0.18,0.19,0.19
0.22,0.2,0.2,0.2,0.19
0.21,0.19,0.18,0.19,0.19
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.2,0.18,0.18,0.18,0.18
0.2,0.18,0.18,0.18,0.18
0.2,0.18,0.18,0.18,0.18
0.19,0.17,0.17,0.17,0.18
0.19,0.17,0.17,0.17,0.17
0.2,0.18,0.18,0.18,0.18
0.2,0.18,0.18,0.18,0.18
0.2,0.18,0.18,0.18,0.18
0.21,0.19,0.19,0.19,0.19
0.22,0.2,0.2,0.2,0.2
0.22,0.2,0.2,0.2,0.2
0.22,0.2,0.2,0.2,0.2
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.21
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.24,0.22,0.22,0.22,0.23
0.25,0.23,0.23,0.23,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.23,0.21,0.21,0.21,0.22
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.21
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.22
0.23,0.21,0.21,0.21,0.22
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.21
0.22,0.2,0.2,0.2,0.21
0.21,0.19,0.19,0.19,0.2
0.21,0.19,0.19,0.19,0.19
0.21,0.19,0.19,0.19,0.19
0.21,0.19,0.19,0.19,0.19
0.2,0.18,0.18,0.18,0.19
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.2,0.18,0.17,0.17,0.18
0.2,0.18,0.17,0.17,0.17
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.21,0.19,0.18,0.19,0.18
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.21,0.19,0.18,0.18,0.19
0.21,0.19,0.18,0.18,0.18
0.21,0.19,0.18,0.18,0.18
0.21,0.19,0.18,0.18,0.18
0.2,0.18,0.17,0.17,0.18
0.2,0.18,0.17,0.17,0.17
0.2,0.18,0.17,0.17,0.17
0.2,0.18,0.17,0.17,0.18
0.21,0.19,0.18,0.18,0.19
0.21,0.19,0.18,0.18,0.19
0.21,0.19,0.18,0.18,0.19
0.21,0.19,0.18,0.18,0.19
0.21,0.19,0.18,0.18,0.19
0.2,0.18,0.17,0.17,0.19
0.21,0.19,0.18,0.18,0.19
0.2,0.18,0.17,0.17,0.19
0.21,0.19,0.18,0.18,0.19
0.22,0.2,0.19,0.19,0.2
0.22,0.2,0.19,0.19,0.2
0.21,0.19,0.18,0.18,0.2
0.21,0.19,0.18,0.18,0.2
0.21,0.19,0.18,0.18,0.21
0.21,0.19,0.18,0.18,0.2
0.21,0.19,0.18,0.18,0.2
0.22,0.2,0.19,0.19,0.21
0.22,0.2,0.19,0.19,0.21
0.21,0.19,0.18,0.19,0.21
0.21,0.19,0.18,0.19,0.2
0.21,0.19,0.18,0.19,0.2
0.21,0.19,0.18,0.19,0.2
0.21,0.19,0.18,0.19,0.2
0.2,0.18,0.17,0.18,0.2
0.2,0.18,0.17,0.18,0.19
0.21,0.19,0.18,0.19,0.2
0.2,0.18,0.17,0.18,0.2
0.2,0.18,0.17,0.18,0.19
0.2,0.18,0.17,0.18,0.19
0.21,0.19,0.18,0.19,0.2
0.21,0.19,0.18,0.19,0.2
0.2,0.18,0.17,0.18,0.2
0.21,0.19,0.18,0.19,0.2
0.21,0.19,0.18,0.19,0.2
0.22,0.2,0.19,0.2,0.21
0.22,0.2,0.19,0.2,0.21
0.22,0.2,0.19,0.2,0.21
0.22,0.2,0.19,0.2,0.21
0.22,0.2,0.19,0.2,0.21
0.22,0.2,0.19,0.2,0.21
0.21,0.19,0.18,0.19,0.21
0.21,0.19,0.18,0.19,0.2
0.21,0.19,0.18,0.19,0.2
0.2,0.18,0.17,0.18,0.2
0.19,0.17,0.16,0.16,0.19
0.19,0.17,0.16,0.16,0.18
0.19,0.17,0.16,0.16,0.18
0.19,0.17,0.16,0.16,0.19
0.19,0.17,0.16,0.16,0.18
0.18,0.16,0.15,0.15,0.18
0.19,0.17,0.16,0.16,0.18
0.19,0.17,0.16,0.16,0.18
0.2,0.18,0.17,0.18,0.18
0.19,0.17,0.16,0.16,0.18
0.19,0.17,0.16,0.17,0.17
0.19,0.17,0.16,0.17,0.17
0.19,0.17,0.16,0.17,0.17
0.18,0.16,0.15,0.15,0.17
0.18,0.16,0.15,0.15,0.16
0.19,0.17,0.16,0.17,0.17
0.19,0.17,0.16,0.17,0.17
0.2,0.18,0.17,0.18,0.18
0.2,0.18,0.17,0.18,0.18
0.2,0.18,0.17,0.18,0.18
0.21,0.19,0.18,0.19,0.19
0.21,0.19,0.18,0.19,0.19
0.2,0.18,0.17,0.18,0.19
0.2,0.18,0.17,0.18,0.18
0.21,0.19,0.18,0.19,0.19
0.22,0.2,0.19,0.2,0.2
0.22,0.2,0.19,0.2,0.2
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.23,0.21,0.2,0.21,0.21
0.24,0.22,0.21,0.22,0.22
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.25,0.23,0.23,0.23,0.24
0.24,0.22,0.22,0.22,0.24
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.23,0.24
0.24,0.22,0.22,0.23,0.23
0.24,0.22,0.22,0.23,0.23
0.25,0.23,0.23,0.24,0.24
0.25,0.23,0.23,0.24,0.24
0.25,0.23,0.23,0.24,0.24
0.25,0.23,0.23,0.24,0.24
0.25,0.23,0.23,0.24,0.24
0.25,0.23,0.23,0.24,0.24
0.24,0.22,0.22,0.23,0.24
0.23,0.21,0.21,0.22,0.23
0.23,0.21,0.21,0.22,0.22
0.23,0.21,0.21,0.22,0.22
0.24,0.22,0.22,0.23,0.22
0.24,0.22,0.22,0.23,0.22
0.24,0.22,0.22,0.23,0.22
0.23,0.21,0.21,0.22,0.22
0.23,0.21,0.21,0.22,0.21
0.22,0.2,0.2,0.21,0.21
0.21,0.19,0.19,0.19,0.2
0.21,0.19,0.19,0.19,0.19
0.21,0.19,0.19,0.19,0.19
0.22,0.2,0.2,0.21,0.2
0.22,0.2,0.2,0.21,0.2
0.23,0.21,0.21,0.22,0.2
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.22
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.24,0.22,0.22,0.23,0.21
0.23,0.21,0.21,0.22,0.21
0.23,0.21,0.21,0.22,0.2
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.21
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.22,0.2,0.2,0.2,0.2
0.22,0.2,0.2,0.2,0.19
0.21,0.19,0.19,0.19,0.19
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.23,0.21,0.21,0.21,0.2
0.22,0.2,0.2,0.2,0.2
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.2
0.23,0.21,0.21,0.21,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.22,0.2,0.2,0.2,0.19
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.22,0.2,0.2,0.2,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.2
0.24,0.22,0.22,0.22,0.21
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.23,0.21,0.21,0.21,0.2
0.22,0.2,0.2,0.2,0.2
0.21,0.19,0.19,0.19,0.19
0.22,0.2,0.2,0.2,0.19
0.21,0.19,0.19,0.19,0.19
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.21,0.19,0.19,0.19,0.18
0.2,0.18,0.18,0.18,0.18
0.2,0.18,0.18,0.18,0.18
0.21,0.19,0.19,0.19,0.17
0.21,0.19,0.19,0.19,0.17
0.21,0.19,0.19,0.19,0.17
0.2,0.18,0.18,0.18,0.17
0.21,0.19,0.19,0.19,0.16
0.22,0.2,0.19,0.19,0.17
0.22,0.2,0.19,0.19,0.17
0.23,0.21,0.2,0.21,0.18
0.23,0.21,0.2,0.21,0.18
0.22,0.2,0.19,0.19,0.18
0.22,0.2,0.19,0.19,0.17
0.23,0.21,0.2,0.21,0.18
0.22,0.2,0.19,0.19,0.18
0.22,0.2,0.19,0.19,0.17
0.22,0.2,0.19,0.19,0.17
0.22,0.2,0.19,0.19,0.17
0.22,0.2,0.19,0.19,0.17
0.22,0.2,0.19,0.19,0.17
0.23,0.21,0.2,0.2,0.18
0.24,0.22,0.22,0.22,0.19
0.24,0.22,0.22,0.22,0.19
0.24,0.22,0.22,0.22,0.19
0.23,0.21,0.2,0.21,0.19
0.24,0.22,0.22,0.22,0.2
0.24,0.22,0.22,0.22,0.2
0.25,0.23,0.23,0.23,0.21
0.26,0.24,0.23,0.23,0.21
0.26,0.24,0.23,0.23,0.21
0.26,0.24,0.23,0.23,0.21
0.26,0.24,0.23,0.23,0.21
0.26,0.24,0.23,0.23,0.21
0.25,0.23,0.22,0.22,0.21
0.24,0.22,0.2,0.21,0.2
0.23,0.21,0.19,0.2,0.2
0.22,0.2,0.18,0.19,0.19
0.21,0.19,0.17,0.17,0.18
0.21,0.19,0.17,0.17,0.17
0.21,0.19,0.17,0.17,0.18
0.21,0.19,0.17,0.17,0.18
0.21,0.19,0.17,0.17,0.18
0.21,0.19,0.17,0.17,0.18
0.21,0.19,0.17,0.17,0.18
0.21,0.19,0.17,0.17,0.18
0.22,0.2,0.18,0.19,0.19
0.22,0.2,0.18,0.19,0.19
0.23,0.21,0.19,0.2,0.2
0.22,0.2,0.19,0.19,0.2
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.24,0.22,0.21,0.21,0.21
0.24,0.22,0.21,0.21,0.21
0.24,0.22,0.21,0.21,0.21
0.24,0.22,0.21,0.21,0.21
0.24,0.22,0.21,0.21,0.21
0.24,0.22,0.21,0.21,0.21
0.23,0.21,0.2,0.2,0.21
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.23,0.21,0.2,0.2,0.2
0.22,0.2,0.19,0.19,0.2
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.21,0.19,0.18,0.18,0.19
0.21,0.19,0.18,0.18,0.18
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.22,0.2,0.19,0.19,0.19
0.23,0.21,0.2,0.19,0.2
0.23,0.21,0.2,0.19,0.2
0.22,0.2,0.18,0.18,0.2
0.22,0.2,0.18,0.18,0.19
0.22,0.2,0.18,0.18,0.19
0.21,0.19,0.17,0.16,0.19
0.2,0.18,0.16,0.15,0.18
0.2,0.18,0.16,0.15,0.17
0.2,0.18,0.16,0.15,0.17
0.2,0.18,0.16,0.15,0.16
0.2,0.18,0.16,0.15,0.16
0.2,0.18,0.16,0.15,0.16
0.2,0.18,0.16,0.15,0.16
0.2,0.18,0.16,0.15,0.16
0.2,0.18,0.16,0.15,0.16
0.19,0.17,0.15,0.14,0.16
0.19,0.17,0.15,0.14,0.15
0.19,0.17,0.15,0.14,0.15
0.2,0.18,0.16,0.15,0.16
0.2,0.18,0.16,0.15,0.16
0.21,0.19,0.17,0.16,0.17
0.22,0.2,0.18,0.17,0.18
0.22,0.2,0.18,0.17,0.18
0.22,0.2,0.18,0.17,0.18
