baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.36,0.34,0.34,0.34,0.3
0.35,0.33,0.33,0.33,0.3
0.35,0.33,0.33,0.33,0.29
0.35,0.33,0.33,0.34,0.3
0.35,0.33,0.33,0.34,0.3
0.35,0.33,0.33,0.34,0.31
0.35,0.33,0.33,0.34,0.31
0.35,0.33,0.33,0.34,0.31
0.35,0.33,0.33,0.34,0.31
0.36,0.34,0.34,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.35,0.33,0.33,0.34,0.32
0.34,0.32,0.32,0.33,0.31
0.35,0.33,0.33,0.34,0.31
0.34,0.32,0.32,0.33,0.31
0.35,0.33,0.33,0.34,0.32
0.35,0.33,0.33,0.34,0.32
0.35,0.33,0.33,0.34,0.32
0.36,0.34,0.34,0.35,0.33
0.36,0.34,0.34,0.35,0.33
0.36,0.34,0.34,0.35,0.33
0.35,0.33,0.33,0.34,0.33
0.35,0.33,0.33,0.34,0.33
0.35,0.33,0.33,0.34,0.34
0.35,0.33,0.33,0.34,0.34
0.34,0.32,0.32,0.33,0.33
0.34,0.32,0.32,0.33,0.32
0.34,0.32,0.32,0.33,0.32
0.35,0.33,0.33,0.34,0.33
0.36,0.34,0.34,0.35,0.34
0.35,0.33,0.33,0.33,0.34
0.34,0.32,0.32,0.32,0.33
0.35,0.33,0.33,0.34,0.33
0.35,0.33,0.33,0.33,0.33
0.35,0.33,0.33,0.33,0.33
0.36,0.34,0.34,0.35,0.34
0.36,0.34,0.34,0.35,0.34
0.35,0.33,0.33,0.34,0.34
0.35,0.33,0.33,0.34,0.33
0.35,0.33,0.33,0.34,0.33
0.34,0.32,0.32,0.32,0.33
0.34,0.32,0.32,0.32,0.32
0.35,0.33,0.33,0.33,0.33
0.35,0.33,0.33,0.33,0.33
0.35,0.33,0.33,0.33,0.33
0.34,0.32,0.32,0.32,0.33
0.34,0.32,0.32,0.32,0.32
0.34,0.32,0.32,0.32,0.32
0.33,0.31,0.31,0.31,0.32
0.32,0.3,0.3,0.3,0.31
0.32,0.3,0.3,0.3,0.3
0.33,0.31,0.31,0.31,0.31
0.33,0.31,0.31,0.31,0.31
0.33,0.31,0.31,0.31,0.31
0.33,0.31,0.31,0.31,0.32
0.34,0.32,0.32,0.32,0.31
0.33,0.31,0.31,0.31,0.31
0.32,0.3,0.3,0.3,0.32
0.32,0.3,0.3,0.3,0.31
0.33,0.31,0.32,0.31,0.32
0.33,0.31,0.32,0.32,0.32
0.34,0.32,0.33,0.33,0.33
0.35,0.33,0.34,0.34,0.34
0.35,0.33,0.34,0.34,0.34
0.35,0.33,0.34,0.34,0.34
0.35,0.33,0.34,0.34,0.34
0.34,0.32,0.33,0.33,0.34
0.33,0.31,0.32,0.32,0.33
0.32,0.3,0.31,0.31,0.32
0.31,0.29,0.3,0.29,0.31
0.3,0.28,0.29,0.28,0.3
0.29,0.27,0.28,0.27,0.29
0.29,0.27,0.28,0.27,0.28
0.3,0.28,0.28,0.28,0.29
0.29,0.27,0.27,0.27,0.29
0.28,0.26,0.26,0.26,0.28
0.29,0.27,0.27,0.27,0.28
0.29,0.27,0.27,0.27,0.28
0.29,0.27,0.27,0.27,0.28
0.28,0.26,0.26,0.26,0.28
0.27,0.25,0.25,0.25,0.27
0.27,0.25,0.25,0.25,0.27
0.28,0.26,0.26,0.26,0.28
0.28,0.26,0.26,0.26,0.28
0.28,0.26,0.26,0.26,0.28
0.28,0.26,0.26,0.26,0.29
0.27,0.25,0.25,0.25,0.28
0.26,0.24,0.24,0.24,0.27
0.27,0.25,0.25,0.25,0.26
0.28,0.26,0.26,0.26,0.27
0.29,0.27,0.27,0.27,0.28
0.28,0.26,0.26,0.26,0.28
0.28,0.26,0.26,0.26,0.27
0.28,0.26,0.26,0.26,0.27
0.28,0.26,0.26,0.26,0.27
0.29,0.27,0.27,0.27,0.28
0.29,0.27,0.27,0.27,0.28
0.28,0.26,0.27,0.26,0.28
0.28,0.26,0.27,0.26,0.27
0.28,0.26,0.27,0.26,0.27
0.28,0.26,0.27,0.26,0.27
0.29,0.27,0.28,0.27,0.28
0.28,0.26,0.27,0.26,0.28
0.28,0.26,0.27,0.26,0.27
0.27,0.25,0.26,0.25,0.27
0.26,0.24,0.24,0.24,0.26
0.26,0.24,0.24,0.24,0.25
0.26,0.24,0.24,0.24,0.25
0.26,0.24,0.25,0.24,0.26
0.26,0.24,0.24,0.24,0.25
0.26,0.24,0.24,0.24,0.25
0.26,0.24,0.24,0.24,0.25
0.26,0.24,0.24,0.24,0.25
0.26,0.24,0.24,0.24,0.26
0.26,0.24,0.24,0.24,0.25
0.25,0.23,0.24,0.23,0.25
0.25,0.23,0.23,0.23,0.24
0.25,0.23,0.23,0.23,0.24
0.24,0.22,0.22,0.22,0.24
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.25,0.23,0.23,0.23,0.24
0.25,0.23,0.23,0.23,0.24
0.24,0.22,0.22,0.22,0.24
0.24,0.22,0.22,0.22,0.24
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.25,0.23,0.23,0.23,0.24
0.24,0.22,0.22,0.22,0.24
0.23,0.2,0.21,0.21,0.23
0.23,0.2,0.21,0.21,0.22
0.23,0.2,0.21,0.21,0.22
0.22,0.19,0.2,0.2,0.22
0.22,0.19,0.2,0.2,0.21
0.23,0.2,0.21,0.21,0.22
0.23,0.2,0.21,0.21,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.26,0.24,0.24,0.24,0.24
0.25,0.23,0.23,0.23,0.24
0.25,0.23,0.23,0.23,0.23
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.26,0.24,0.24,0.25,0.25
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.26
0.26,0.24,0.24,0.25,0.25
0.26,0.24,0.24,0.25,0.25
0.27,0.25,0.25,0.25,0.26
0.27,0.25,0.25,0.25,0.25
0.27,0.25,0.25,0.26,0.26
0.27,0.25,0.25,0.26,0.25
0.26,0.24,0.24,0.25,0.25
0.25,0.23,0.23,0.24,0.24
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.27,0.25,0.26,0.26,0.25
0.28,0.26,0.27,0.27,0.26
0.29,0.27,0.27,0.28,0.27
0.29,0.27,0.27,0.28,0.27
0.29,0.27,0.27,0.28,0.27
0.28,0.26,0.27,0.27,0.27
0.29,0.27,0.28,0.28,0.27
0.3,0.28,0.29,0.29,0.28
0.29,0.27,0.28,0.28,0.28
0.3,0.28,0.29,0.29,0.28
0.3,0.28,0.29,0.29,0.28
0.31,0.29,0.3,0.3,0.29
0.32,0.3,0.31,0.31,0.3
0.32,0.3,0.31,0.31,0.3
0.31,0.29,0.3,0.3,0.3
0.31,0.29,0.3,0.3,0.29
0.32,0.3,0.31,0.31,0.3
0.31,0.29,0.3,0.3,0.3
0.32,0.3,0.31,0.31,0.3
0.33,0.31,0.32,0.32,0.3
0.33,0.31,0.32,0.32,0.31
0.32,0.3,0.31,0.31,0.31
0.31,0.29,0.3,0.3,0.3
0.31,0.29,0.3,0.3,0.29
0.31,0.29,0.3,0.3,0.29
0.31,0.29,0.29,0.3,0.29
0.32,0.3,0.3,0.31,0.29
0.32,0.3,0.3,0.31,0.3
0.33,0.31,0.31,0.32,0.3
0.34,0.32,0.32,0.33,0.3
0.34,0.32,0.32,0.33,0.3
0.35,0.33,0.34,0.34,0.31
0.36,0.34,0.35,0.35,0.32
0.36,0.34,0.35,0.35,0.33
0.36,0.34,0.34,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.37,0.35,0.36,0.36,0.33
0.37,0.35,0.36,0.36,0.33
0.37,0.35,0.36,0.36,0.33
0.37,0.35,0.36,0.36,0.34
0.37,0.35,0.36,0.36,0.33
0.37,0.35,0.36,0.36,0.33
0.37,0.35,0.36,0.36,0.33
0.37,0.35,0.36,0.36,0.33
0.36,0.34,0.35,0.35,0.33
0.36,0.34,0.35,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.36,0.34,0.34,0.35,0.32
0.37,0.35,0.35,0.36,0.33
0.38,0.37,0.37,0.37,0.34
0.39,0.38,0.38,0.38,0.35
0.38,0.37,0.37,0.37,0.35
0.38,0.37,0.37,0.37,0.34
0.39,0.38,0.38,0.38,0.35
0.38,0.37,0.37,0.37,0.35
0.39,0.38,0.38,0.38,0.35
0.39,0.38,0.38,0.38,0.35
0.39,0.38,0.38,0.38,0.36
0.4,0.39,0.39,0.39,0.36
0.4,0.39,0.39,0.39,0.36
0.4,0.39,0.39,0.39,0.36
0.4,0.39,0.39,0.39,0.36
0.4,0.39,0.39,0.39,0.36
0.41,0.4,0.4,0.4,0.37
0.4,0.39,0.39,0.39,0.37
0.39,0.38,0.38,0.38,0.36
0.38,0.37,0.37,0.37,0.35
0.38,0.37,0.37,0.37,0.34
0.37,0.35,0.35,0.36,0.34
0.37,0.35,0.35,0.36,0.34
0.37,0.35,0.35,0.36,0.34
0.37,0.35,0.35,0.36,0.35
0.38,0.37,0.37,0.37,0.35
0.39,0.38,0.38,0.38,0.36
0.38,0.37,0.37,0.37,0.36
0.39,0.38,0.38,0.38,0.36
0.38,0.37,0.37,0.37,0.36
0.39,0.38,0.38,0.38,0.36
0.4,0.39,0.39,0.39,0.37
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.39
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.39
0.42,0.41,0.41,0.41,0.39
0.42,0.41,0.41,0.41,0.39
0.41,0.4,0.4,0.4,0.39
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.39
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.38
0.41,0.4,0.4,0.4,0.38
0.4,0.39,0.39,0.39,0.38
0.41,0.4,0.39,0.4,0.37
0.41,0.4,0.39,0.4,0.37
0.41,0.4,0.39,0.4,0.38
0.41,0.4,0.39,0.4,0.37
0.42,0.41,0.4,0.41,0.38
0.41,0.4,0.39,0.4,0.38
0.41,0.4,0.39,0.4,0.37
0.41,0.4,0.39,0.4,0.36
0.41,0.4,0.39,0.4,0.36
0.41,0.4,0.39,0.4,0.36
0.41,0.4,0.39,0.4,0.37
0.4,0.39,0.38,0.39,0.36
0.4,0.39,0.38,0.39,0.35
0.39,0.38,0.37,0.38,0.35
0.4,0.39,0.38,0.39,0.35
0.39,0.38,0.37,0.38,0.35
0.38,0.37,0.36,0.37,0.34
0.38,0.37,0.36,0.37,0.33
0.38,0.37,0.36,0.37,0.33
0.38,0.37,0.36,0.37,0.33
0.37,0.35,0.35,0.35,0.33
0.38,0.37,0.36,0.36,0.33
0.37,0.35,0.35,0.35,0.33
0.36,0.34,0.34,0.34,0.32
0.35,0.33,0.33,0.33,0.32
0.35,0.33,0.33,0.33,0.31
0.36,0.34,0.34,0.34,0.32
0.37,0.35,0.35,0.35,0.33
0.38,0.37,0.36,0.36,0.34
0.39,0.38,0.37,0.37,0.35
0.38,0.37,0.36,0.36,0.35
0.38,0.37,0.36,0.36,0.36
0.38,0.37,0.36,0.36,0.36
0.37,0.35,0.35,0.36,0.35
0.37,0.35,0.35,0.36,0.35
0.36,0.34,0.34,0.35,0.35
0.35,0.33,0.33,0.34,0.34
0.34,0.32,0.32,0.32,0.33
0.35,0.33,0.33,0.33,0.32
0.35,0.33,0.33,0.33,0.32
0.35,0.33,0.33,0.33,0.32
0.34,0.32,0.32,0.32,0.32
0.34,0.32,0.32,0.32,0.31
0.34,0.32,0.32,0.32,0.31
0.33,0.31,0.3,0.31,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.31,0.32,0.31
0.34,0.32,0.32,0.32,0.31
0.34,0.32,0.32,0.32,0.31
0.33,0.31,0.31,0.31,0.31
0.32,0.3,0.3,0.3,0.3
0.32,0.3,0.3,0.3,0.3
0.32,0.3,0.3,0.3,0.29
0.33,0.31,0.31,0.31,0.3
0.32,0.3,0.3,0.3,0.3
0.32,0.3,0.3,0.3,0.29
0.31,0.29,0.29,0.29,0.29
0.32,0.3,0.3,0.3,0.29
0.32,0.3,0.3,0.3,0.3
0.31,0.29,0.29,0.28,0.29
0.32,0.3,0.3,0.29,0.29
0.32,0.3,0.3,0.29,0.29
0.32,0.3,0.3,0.29,0.29
0.32,0.3,0.3,0.3,0.29
0.31,0.29,0.29,0.28,0.29
0.32,0.3,0.3,0.3,0.29
0.32,0.3,0.3,0.3,0.29
0.32,0.3,0.3,0.3,0.29
0.32,0.3,0.3,0.3,0.29
0.32,0.3,0.3,0.29,0.29
0.32,0.3,0.3,0.29,0.29
0.32,0.3,0.3,0.29,0.29
0.31,0.29,0.29,0.28,0.29
0.3,0.28,0.28,0.27,0.28
0.3,0.28,0.28,0.27,0.28
0.3,0.28,0.28,0.27,0.27
0.29,0.27,0.27,0.26,0.27
0.29,0.27,0.27,0.26,0.26
0.28,0.26,0.26,0.25,0.26
0.27,0.25,0.24,0.24,0.25
0.26,0.24,0.23,0.23,0.24
0.26,0.24,0.23,0.23,0.23
0.27,0.25,0.24,0.24,0.24
0.27,0.25,0.24,0.24,0.25
0.27,0.25,0.24,0.24,0.24
0.26,0.24,0.23,0.23,0.24
0.25,0.23,0.22,0.22,0.23
0.25,0.23,0.22,0.22,0.22
0.25,0.23,0.22,0.22,0.22
0.26,0.24,0.23,0.23,0.23
0.26,0.24,0.23,0.23,0.24
0.27,0.25,0.24,0.24,0.24
0.27,0.25,0.24,0.24,0.24
0.27,0.25,0.24,0.24,0.24
0.27,0.25,0.24,0.24,0.24
0.26,0.24,0.23,0.23,0.24
0.27,0.25,0.24,0.24,0.25
0.26,0.24,0.23,0.23,0.25
0.27,0.25,0.24,0.24,0.25
0.27,0.25,0.24,0.24,0.26
0.27,0.25,0.24,0.24,0.25
0.26,0.24,0.23,0.23,0.25
0.27,0.25,0.24,0.24,0.26
0.28,0.26,0.26,0.26,0.27
0.28,0.26,0.26,0.26,0.27
0.27,0.25,0.24,0.24,0.27
0.27,0.25,0.24,0.24,0.26
0.27,0.25,0.24,0.24,0.26
0.27,0.25,0.24,0.24,0.26
0.27,0.25,0.24,0.24,0.26
0.27,0.25,0.24,0.24,0.25
0.27,0.25,0.24,0.24,0.25
0.28,0.26,0.26,0.26,0.26
0.28,0.26,0.26,0.26,0.26
0.28,0.26,0.26,0.26,0.26
0.29,0.27,0.27,0.27,0.27
0.29,0.27,0.27,0.27,0.28
0.29,0.27,0.27,0.27,0.27
0.29,0.27,0.27,0.27,0.27
0.29,0.27,0.27,0.27,0.27
0.29,0.27,0.27,0.27,0.27
0.28,0.26,0.26,0.26,0.27
0.27,0.25,0.25,0.25,0.26
0.26,0.24,0.24,0.24,0.25
0.25,0.23,0.23,0.23,0.24
0.25,0.23,0.23,0.23,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.22,0.22,0.23
0.24,0.22,0.21,0.22,0.22
0.24,0.22,0.21,0.22,0.22
0.24,0.22,0.21,0.22,0.22
0.24,0.22,0.21,0.22,0.22
0.25,0.23,0.22,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.25,0.23,0.23,0.23,0.24
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.25,0.23,0.23,0.23,0.23
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.27,0.25,0.25,0.26,0.25
0.28,0.26,0.26,0.27,0.26
0.29,0.27,0.27,0.28,0.27
0.29,0.27,0.27,0.28,0.27
0.28,0.26,0.26,0.27,0.27
0.28,0.26,0.26,0.27,0.26
0.28,0.26,0.26,0.27,0.27
0.28,0.26,0.26,0.27,0.26
0.29,0.27,0.27,0.28,0.27
0.3,0.28,0.29,0.29,0.28
0.29,0.27,0.27,0.28,0.28
0.29,0.27,0.27,0.28,0.28
0.29,0.27,0.27,0.28,0.27
0.28,0.26,0.26,0.27,0.27
0.28,0.26,0.26,0.27,0.26
0.28,0.26,0.27,0.27,0.26
0.28,0.26,0.27,0.27,0.26
0.28,0.26,0.27,0.27,0.26
0.28,0.26,0.27,0.27,0.27
0.28,0.26,0.26,0.27,0.26
0.29,0.27,0.27,0.28,0.27
0.29,0.27,0.27,0.28,0.27
0.3,0.28,0.29,0.29,0.28
0.3,0.28,0.29,0.29,0.28
0.3,0.28,0.29,0.29,0.28
0.3,0.28,0.29,0.29,0.28
0.3,0.28,0.29,0.29,0.28
0.3,0.28,0.29,0.29,0.29
0.3,0.28,0.29,0.29,0.29
0.3,0.28,0.29,0.29,0.29
0.31,0.29,0.3,0.3,0.3
0.32,0.3,0.31,0.31,0.31
0.33,0.31,0.31,0.31,0.32
0.34,0.32,0.32,0.32,0.33
0.35,0.33,0.33,0.34,0.34
0.34,0.32,0.32,0.32,0.34
0.33,0.31,0.31,0.31,0.33
0.33,0.31,0.31,0.31,0.32
0.34,0.32,0.32,0.32,0.33
0.35,0.33,0.33,0.33,0.34
0.35,0.33,0.33,0.33,0.34
0.35,0.33,0.33,0.33,0.34
0.34,0.32,0.32,0.32,0.34
0.33,0.31,0.31,0.31,0.33
0.32,0.3,0.3,0.3,0.32
0.32,0.3,0.3,0.3,0.31
0.32,0.3,0.3,0.3,0.31
0.32,0.3,0.3,0.3,0.31
0.32,0.3,0.31,0.31,0.31
0.32,0.3,0.31,0.31,0.32
0.33,0.31,0.32,0.32,0.32
0.32,0.3,0.31,0.31,0.32
0.31,0.29,0.3,0.3,0.31
0.32,0.3,0.31,0.31,0.31
0.32,0.3,0.3,0.31,0.31
0.32,0.3,0.3,0.31,0.32
0.31,0.29,0.3,0.3,0.31
0.32,0.3,0.31,0.31,0.31
0.32,0.3,0.31,0.31,0.31
0.32,0.3,0.31,0.31,0.31
0.32,0.3,0.31,0.31,0.31
0.33,0.31,0.32,0.32,0.32
0.33,0.31,0.32,0.32,0.33
0.34,0.32,0.33,0.33,0.34
0.35,0.33,0.34,0.34,0.35
0.34,0.32,0.33,0.33,0.35
0.34,0.32,0.33,0.33,0.34
0.34,0.32,0.33,0.33,0.34
0.34,0.32,0.33,0.33,0.35
0.34,0.32,0.33,0.33,0.35
0.34,0.32,0.33,0.33,0.34
0.34,0.32,0.33,0.33,0.34
0.34,0.32,0.33,0.33,0.34
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
0.34,0.32,0.33,0.33,0.35
0.34,0.32,0.33,0.33,0.34
0.35,0.33,0.34,0.34,0.35
0.35,0.33,0.34,0.34,0.35
