baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.51,0.54,0.54,0.54,0.56
0.51,0.54,0.55,0.54,0.56
0.51,0.54,0.55,0.54,0.56
0.51,0.54,0.55,0.54,0.56
0.52,0.55,0.55,0.54,0.56
0.52,0.55,0.55,0.54,0.56
0.51,0.54,0.55,0.54,0.56
0.52,0.55,0.55,0.54,0.56
0.52,0.55,0.55,0.54,0.56
0.51,0.54,0.55,0.54,0.56
0.52,0.55,0.55,0.54,0.56
0.52,0.55,0.55,0.54,0.57
0.52,0.55,0.56,0.55,0.57
0.52,0.55,0.55,0.54,0.57
0.52,0.55,0.56,0.54,0.57
0.52,0.55,0.55,0.54,0.57
0.51,0.54,0.55,0.54,0.57
0.52,0.55,0.55,0.54,0.57
0.52,0.55,0.56,0.55,0.57
0.52,0.55,0.56,0.55,0.57
0.52,0.55,0.55,0.54,0.57
0.52,0.55,0.55,0.54,0.57
0.52,0.55,0.56,0.55,0.58
0.52,0.55,0.56,0.55,0.58
0.52,0.56,0.56,0.55,0.58
0.52,0.56,0.57,0.56,0.58
0.52,0.56,0.57,0.56,0.58
0.52,0.56,0.57,0.56,0.58
0.53,0.56,0.57,0.56,0.58
0.53,0.57,0.57,0.56,0.59
0.53,0.57,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.57,0.58,0.57,0.59
0.53,0.57,0.57,0.56,0.59
0.53,0.57,0.57,0.56,0.59
0.53,0.57,0.57,0.56,0.59
0.53,0.57,0.57,0.56,0.59
0.53,0.57,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.58,0.59,0.57,0.59
0.53,0.58,0.59,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.53,0.58,0.58,0.57,0.59
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.53,0.58,0.58,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.59,0.59,0.58,0.6
0.54,0.59,0.59,0.58,0.6
0.54,0.59,0.59,0.58,0.61
0.54,0.58,0.59,0.57,0.6
0.54,0.59,0.59,0.58,0.6
0.54,0.59,0.59,0.58,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.58,0.59,0.57,0.6
0.54,0.59,0.59,0.58,0.61
0.54,0.59,0.59,0.58,0.61
0.54,0.58,0.59,0.58,0.61
0.54,0.58,0.59,0.58,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.57,0.57,0.56,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.57,0.57,0.56,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.54,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.53,0.58,0.58,0.57,0.61
0.54,0.58,0.58,0.57,0.61
0.54,0.58,0.58,0.57,0.61
0.54,0.59,0.59,0.58,0.61
0.54,0.59,0.59,0.58,0.62
0.54,0.59,0.59,0.58,0.62
0.54,0.59,0.59,0.58,0.62
0.54,0.59,0.59,0.58,0.62
0.54,0.59,0.59,0.58,0.62
0.54,0.59,0.59,0.58,0.62
0.54,0.6,0.6,0.59,0.62
0.54,0.6,0.6,0.59,0.63
0.54,0.6,0.6,0.59,0.63
0.55,0.6,0.6,0.59,0.63
0.55,0.6,0.6,0.59,0.63
0.55,0.61,0.61,0.6,0.63
0.55,0.61,0.61,0.6,0.63
0.55,0.61,0.61,0.6,0.63
0.55,0.61,0.61,0.6,0.63
0.55,0.61,0.61,0.6,0.63
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.63
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.56,0.62,0.62,0.61,0.64
0.55,0.61,0.61,0.6,0.64
0.55,0.61,0.61,0.6,0.64
0.56,0.62,0.62,0.61,0.64
0.56,0.62,0.62,0.61,0.64
0.56,0.62,0.62,0.61,0.64
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.56,0.63,0.63,0.61,0.65
0.57,0.64,0.64,0.62,0.65
0.57,0.64,0.64,0.62,0.65
0.57,0.64,0.64,0.62,0.65
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.65
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.65
0.57,0.64,0.64,0.62,0.65
0.57,0.64,0.64,0.63,0.65
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.63,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.62,0.66
0.57,0.64,0.64,0.63,0.66
0.57,0.65,0.64,0.63,0.66
0.57,0.65,0.65,0.63,0.66
0.57,0.65,0.65,0.63,0.66
0.57,0.65,0.65,0.63,0.66
0.58,0.65,0.65,0.63,0.66
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.65,0.65,0.63,0.67
0.58,0.65,0.65,0.63,0.67
0.58,0.65,0.65,0.63,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.65,0.65,0.63,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.65,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.67,0.66,0.65,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.66,0.66,0.64,0.67
0.58,0.67,0.66,0.65,0.67
0.59,0.67,0.67,0.65,0.68
0.59,0.67,0.67,0.65,0.68
0.59,0.68,0.67,0.66,0.68
0.59,0.68,0.68,0.66,0.68
0.59,0.68,0.68,0.66,0.68
0.59,0.68,0.68,0.66,0.68
0.59,0.68,0.68,0.66,0.68
0.59,0.69,0.68,0.66,0.68
0.59,0.68,0.68,0.66,0.68
0.59,0.68,0.68,0.66,0.68
0.59,0.69,0.68,0.67,0.68
0.6,0.69,0.68,0.67,0.68
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.69,0.67,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.7,0.69,0.68,0.69
0.6,0.69,0.69,0.68,0.69
0.6,0.69,0.69,0.68,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.59,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.59,0.69,0.68,0.67,0.69
0.59,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.59,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.69
0.6,0.69,0.68,0.67,0.7
0.6,0.69,0.69,0.68,0.7
0.6,0.69,0.69,0.68,0.7
0.6,0.69,0.69,0.68,0.7
0.6,0.69,0.69,0.68,0.7
0.6,0.69,0.69,0.68,0.7
0.6,0.69,0.69,0.68,0.7
0.6,0.7,0.69,0.68,0.7
0.6,0.7,0.7,0.68,0.7
0.6,0.7,0.69,0.68,0.7
0.6,0.7,0.7,0.68,0.7
0.6,0.7,0.7,0.69,0.7
0.6,0.7,0.7,0.69,0.7
0.6,0.7,0.7,0.69,0.7
0.6,0.7,0.7,0.69,0.7
0.61,0.71,0.7,0.69,0.71
0.61,0.71,0.7,0.69,0.71
0.61,0.71,0.71,0.7,0.71
0.61,0.71,0.71,0.7,0.71
0.61,0.71,0.71,0.7,0.71
0.61,0.71,0.71,0.7,0.71
0.61,0.71,0.71,0.7,0.71
0.61,0.71,0.71,0.7,0.71
0.61,0.72,0.72,0.71,0.71
0.61,0.72,0.72,0.71,0.72
0.61,0.71,0.72,0.71,0.72
0.61,0.72,0.72,0.71,0.72
0.61,0.72,0.72,0.71,0.72
0.61,0.72,0.73,0.72,0.72
0.62,0.72,0.73,0.72,0.72
0.62,0.73,0.73,0.72,0.72
0.62,0.73,0.74,0.73,0.72
0.62,0.72,0.73,0.72,0.72
0.62,0.72,0.73,0.72,0.72
0.62,0.72,0.73,0.72,0.72
0.62,0.72,0.73,0.72,0.72
0.62,0.72,0.73,0.72,0.72
0.61,0.72,0.73,0.72,0.72
0.62,0.72,0.73,0.72,0.72
0.62,0.73,0.73,0.73,0.72
0.62,0.73,0.74,0.73,0.72
0.62,0.73,0.74,0.73,0.72
0.62,0.74,0.75,0.73,0.72
0.62,0.74,0.75,0.73,0.72
0.62,0.74,0.75,0.73,0.72
0.62,0.74,0.75,0.73,0.72
0.62,0.74,0.75,0.74,0.72
0.62,0.74,0.75,0.74,0.72
0.63,0.74,0.76,0.74,0.73
0.62,0.74,0.75,0.74,0.73
0.63,0.74,0.76,0.74,0.73
0.63,0.75,0.76,0.75,0.73
0.63,0.75,0.76,0.75,0.73
0.63,0.75,0.77,0.75,0.73
0.63,0.75,0.77,0.75,0.73
0.63,0.75,0.76,0.75,0.73
0.63,0.75,0.76,0.75,0.73
0.63,0.75,0.76,0.75,0.73
0.63,0.75,0.76,0.75,0.73
0.63,0.75,0.77,0.75,0.73
0.63,0.75,0.77,0.75,0.73
0.63,0.75,0.77,0.75,0.73
0.63,0.75,0.77,0.75,0.74
0.63,0.75,0.77,0.75,0.74
0.63,0.75,0.77,0.75,0.74
0.63,0.75,0.77,0.75,0.73
0.63,0.75,0.78,0.76,0.74
0.63,0.75,0.78,0.76,0.74
0.63,0.75,0.78,0.76,0.74
0.63,0.76,0.79,0.77,0.74
0.63,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.79,0.77,0.74
0.64,0.76,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.63,0.75,0.78,0.76,0.74
0.63,0.75,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.63,0.75,0.78,0.76,0.74
0.63,0.75,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.63,0.76,0.78,0.76,0.74
0.64,0.76,0.78,0.77,0.74
0.64,0.76,0.78,0.77,0.74
0.64,0.77,0.79,0.77,0.74
0.64,0.77,0.79,0.78,0.74
0.64,0.78,0.79,0.78,0.74
0.65,0.78,0.8,0.78,0.75
0.64,0.78,0.8,0.78,0.75
0.64,0.78,0.8,0.78,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.78,0.79,0.78,0.75
0.65,0.78,0.79,0.78,0.75
0.65,0.78,0.79,0.78,0.75
0.65,0.78,0.79,0.78,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.78,0.8,0.78,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.81,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.81,0.79,0.75
0.65,0.79,0.81,0.79,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.76
0.65,0.79,0.81,0.79,0.76
0.65,0.79,0.81,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.8,0.79,0.75
0.65,0.79,0.81,0.79,0.75
0.65,0.79,0.81,0.79,0.75
0.65,0.79,0.81,0.79,0.75
0.65,0.79,0.81,0.8,0.75
0.65,0.79,0.81,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.76
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.81,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.8,0.82,0.79,0.75
0.66,0.8,0.82,0.79,0.75
0.66,0.8,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.67,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.67,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.66,0.81,0.82,0.8,0.75
0.67,0.81,0.83,0.8,0.75
0.67,0.81,0.83,0.81,0.76
0.67,0.82,0.83,0.81,0.76
0.67,0.82,0.83,0.81,0.76
0.67,0.82,0.83,0.81,0.76
0.67,0.81,0.83,0.81,0.75
0.67,0.81,0.83,0.81,0.75
0.67,0.82,0.83,0.81,0.75
0.67,0.82,0.83,0.81,0.75
0.67,0.83,0.84,0.81,0.75
0.67,0.82,0.83,0.81,0.75
0.67,0.82,0.83,0.81,0.75
0.67,0.81,0.82,0.8,0.75
0.67,0.81,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.83,0.82,0.81,0.75
0.67,0.83,0.82,0.81,0.76
0.67,0.83,0.82,0.81,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.82,0.82,0.8,0.75
0.67,0.81,0.82,0.8,0.74
0.67,0.81,0.82,0.8,0.74
0.67,0.81,0.82,0.8,0.74
0.67,0.82,0.82,0.8,0.74
0.67,0.82,0.82,0.8,0.74
0.67,0.81,0.82,0.8,0.74
0.67,0.81,0.82,0.8,0.74
0.66,0.81,0.82,0.8,0.74
0.66,0.81,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.67,0.81,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.66,0.8,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.73
0.66,0.8,0.82,0.8,0.73
0.66,0.8,0.82,0.8,0.73
0.66,0.8,0.82,0.8,0.73
0.66,0.81,0.82,0.8,0.72
0.66,0.8,0.82,0.8,0.72
0.66,0.81,0.82,0.8,0.72
0.66,0.8,0.82,0.8,0.72
0.66,0.8,0.82,0.8,0.72
0.66,0.8,0.82,0.8,0.72
0.66,0.8,0.81,0.8,0.72
0.66,0.8,0.81,0.8,0.71
0.66,0.8,0.81,0.8,0.71
0.65,0.79,0.81,0.79,0.71
0.65,0.79,0.81,0.79,0.71
0.65,0.79,0.81,0.79,0.71
0.65,0.79,0.8,0.79,0.71
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.81,0.79,0.7
0.65,0.79,0.81,0.79,0.7
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.81,0.79,0.7
0.66,0.8,0.81,0.8,0.7
0.65,0.79,0.81,0.8,0.7
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.8,0.79,0.69
0.65,0.79,0.8,0.79,0.7
0.65,0.79,0.8,0.79,0.69
0.65,0.79,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.65,0.78,0.8,0.79,0.69
0.64,0.78,0.8,0.79,0.68
0.64,0.78,0.8,0.79,0.68
0.64,0.78,0.8,0.79,0.68
0.64,0.77,0.8,0.79,0.68
0.64,0.77,0.8,0.78,0.68
0.64,0.77,0.8,0.79,0.68
0.64,0.77,0.8,0.79,0.68
0.64,0.77,0.8,0.78,0.68
0.64,0.76,0.8,0.78,0.68
0.64,0.76,0.79,0.78,0.68
0.64,0.76,0.79,0.78,0.67
0.64,0.76,0.79,0.78,0.67
0.63,0.76,0.78,0.78,0.67
0.63,0.76,0.78,0.78,0.67
0.63,0.75,0.78,0.78,0.67
0.63,0.75,0.78,0.78,0.67
0.63,0.75,0.77,0.77,0.67
0.63,0.75,0.77,0.77,0.66
0.63,0.75,0.77,0.77,0.66
